Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,16,0.31,0.31,0.21086623674239866
100% Corpus,16,0.31,0.61,0.21290901833780795
100% Corpus,16,0.31,0.9099999999999999,0.2104764896272764
100% Corpus,16,0.31,symmetric,0.21028918514014838
100% Corpus,16,0.61,0.01,0.2121272465438185
100% Corpus,16,0.61,0.31,0.21083611061877164
100% Corpus,16,0.61,0.61,0.21453762894496592
100% Corpus,16,0.61,0.9099999999999999,0.21541543076583453
100% Corpus,16,0.61,symmetric,0.21058435818983795
100% Corpus,16,0.9099999999999999,0.01,0.21097774596499969
100% Corpus,16,0.9099999999999999,0.31,0.21136437808527447
100% Corpus,16,0.9099999999999999,0.61,0.2161661077871137
100% Corpus,16,0.9099999999999999,0.9099999999999999,0.25147159522515183
100% Corpus,16,0.9099999999999999,symmetric,0.2105143468493494
100% Corpus,16,symmetric,0.01,0.21028918514014838
100% Corpus,16,symmetric,0.31,0.21086623674239866
100% Corpus,16,symmetric,0.61,0.21124889874773883
100% Corpus,16,symmetric,0.9099999999999999,0.2101746873409479
100% Corpus,16,symmetric,symmetric,0.21069944343451097
100% Corpus,16,asymmetric,0.01,0.21028918514014838
100% Corpus,16,asymmetric,0.31,0.21086623674239866
100% Corpus,16,asymmetric,0.61,0.21290901833780795
100% Corpus,16,asymmetric,0.9099999999999999,0.2101746873409479
100% Corpus,16,asymmetric,symmetric,0.21028918514014838
100% Corpus,17,0.01,0.01,0.21058438317260822
100% Corpus,17,0.01,0.31,0.2101509477084042
100% Corpus,17,0.01,0.61,0.21023972012223957
100% Corpus,17,0.01,0.9099999999999999,0.21033238889711714
100% Corpus,17,0.01,symmetric,0.21058438317260822
100% Corpus,17,0.31,0.01,0.20985787748776377
100% Corpus,17,0.31,0.31,0.21012733269844588
100% Corpus,17,0.31,0.61,0.21027077761160806
100% Corpus,17,0.31,0.9099999999999999,0.21070348940470685
100% Corpus,17,0.31,symmetric,0.20985787748776377
100% Corpus,17,0.61,0.01,0.21014237026827967
100% Corpus,17,0.61,0.31,0.2102365279664321
100% Corpus,17,0.61,0.61,0.20810152867520793
100% Corpus,17,0.61,0.9099999999999999,0.22153858482321712
100% Corpus,17,0.61,symmetric,0.21014237026827967
100% Corpus,17,0.9099999999999999,0.01,0.21093105650451957
100% Corpus,17,0.9099999999999999,0.31,0.21091449457217187
100% Corpus,17,0.9099999999999999,0.61,0.18818241157900797
100% Corpus,17,0.9099999999999999,0.9099999999999999,0.28497662969038184
100% Corpus,17,0.9099999999999999,symmetric,0.2102471151867537
100% Corpus,17,symmetric,0.01,0.2107056352807255
100% Corpus,17,symmetric,0.31,0.2101509477084042
100% Corpus,17,symmetric,0.61,0.21014117485945638
100% Corpus,17,symmetric,0.9099999999999999,0.21033238889711714
100% Corpus,17,symmetric,symmetric,0.21140911314262198
100% Corpus,17,asymmetric,0.01,0.21064418139251373
100% Corpus,17,asymmetric,0.31,0.2099871752729441
100% Corpus,17,asymmetric,0.61,0.21029439262156638
100% Corpus,17,asymmetric,0.9099999999999999,0.21033238889711714
100% Corpus,17,asymmetric,symmetric,0.21773028538639597
100% Corpus,18,0.01,0.01,0.20983606029366633
100% Corpus,18,0.01,0.31,0.20997949287174242
100% Corpus,18,0.01,0.61,0.20996229550995787
100% Corpus,18,0.01,0.9099999999999999,0.20958758477538542
100% Corpus,18,0.01,symmetric,0.20983606029366633
100% Corpus,18,0.31,0.01,0.2106802362195871
100% Corpus,18,0.31,0.31,0.21009988852692843
100% Corpus,18,0.31,0.61,0.2099455446740068
100% Corpus,18,0.31,0.9099999999999999,0.2107472269165063
100% Corpus,18,0.31,symmetric,0.2098795760817899
100% Corpus,18,0.61,0.01,0.21054469568475925
100% Corpus,18,0.61,0.31,0.21011063332147922
100% Corpus,18,0.61,0.61,0.2103395643192918
100% Corpus,18,0.61,0.9099999999999999,0.1834872965962854
100% Corpus,18,0.61,symmetric,0.21014210226174354
100% Corpus,18,0.9099999999999999,0.01,0.21120603450337938
100% Corpus,18,0.9099999999999999,0.31,0.21052310441570854
100% Corpus,18,0.9099999999999999,0.61,0.2131596155331955
100% Corpus,18,0.9099999999999999,0.9099999999999999,0.22529972214462196
100% Corpus,18,0.9099999999999999,symmetric,0.21068487032320782
100% Corpus,18,symmetric,0.01,0.20995645594885237
100% Corpus,18,symmetric,0.31,0.21009988852692843
100% Corpus,18,symmetric,0.61,0.2100826911651439
100% Corpus,18,symmetric,0.9099999999999999,0.20970798043057143
100% Corpus,18,symmetric,symmetric,0.20995645594885237
100% Corpus,18,asymmetric,0.01,0.20995645594885237
100% Corpus,18,asymmetric,0.31,0.21009988852692843
100% Corpus,18,asymmetric,0.61,0.2102351674864097
100% Corpus,18,asymmetric,0.9099999999999999,0.20970798043057143
100% Corpus,18,asymmetric,symmetric,0.20995645594885237
100% Corpus,19,0.01,0.01,0.21034758639039353
100% Corpus,19,0.01,0.31,0.21166215922337012
100% Corpus,19,0.01,0.61,0.2099513836290805
100% Corpus,19,0.01,0.9099999999999999,0.21018556449677828
100% Corpus,19,0.01,symmetric,0.21082022741753212
100% Corpus,19,0.31,0.01,0.2106485168182061
100% Corpus,19,0.31,0.31,0.2101786144835518
100% Corpus,19,0.31,0.61,0.21017891697570446
100% Corpus,19,0.31,0.9099999999999999,0.21040369773779136
100% Corpus,19,0.31,symmetric,0.209954589925815
100% Corpus,19,0.61,0.01,0.21013983269852982
100% Corpus,19,0.61,0.31,0.21018056464481377
100% Corpus,19,0.61,0.61,0.20338015507713877
100% Corpus,19,0.61,0.9099999999999999,0.2726562395508617
100% Corpus,19,0.61,symmetric,0.2100960150194101
100% Corpus,19,0.9099999999999999,0.01,0.21172378258303726
100% Corpus,19,0.9099999999999999,0.31,0.21171001792963057
100% Corpus,19,0.9099999999999999,0.61,0.19335524539956855
100% Corpus,19,0.9099999999999999,0.9099999999999999,0.3460100005130564
100% Corpus,19,0.9099999999999999,symmetric,0.21117073087387714
100% Corpus,19,symmetric,0.01,0.21045209465302178
100% Corpus,19,symmetric,0.31,0.21138732441058253
100% Corpus,19,symmetric,0.61,0.2099513836290805
100% Corpus,19,symmetric,0.9099999999999999,0.21018556449677828
100% Corpus,19,symmetric,symmetric,0.20995395352494142
100% Corpus,19,asymmetric,0.01,0.210402539186836
100% Corpus,19,asymmetric,0.31,0.21047492266085338
100% Corpus,19,asymmetric,0.61,0.2099513836290805
100% Corpus,19,asymmetric,0.9099999999999999,0.21057092792110907
100% Corpus,19,asymmetric,symmetric,0.20995395352494142
