Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,12,0.9099999999999999,0.9099999999999999,0.5189304763169031
75% Corpus,12,0.9099999999999999,symmetric,0.21910915778549367
75% Corpus,12,symmetric,0.01,0.2141326898191409
75% Corpus,12,symmetric,0.31,0.2207778373454151
75% Corpus,12,symmetric,0.61,0.2135563698128359
75% Corpus,12,symmetric,0.9099999999999999,0.21857202967854997
75% Corpus,12,symmetric,symmetric,0.21346018522033514
75% Corpus,12,asymmetric,0.01,0.21410778566350128
75% Corpus,12,asymmetric,0.31,0.220760462867305
75% Corpus,12,asymmetric,0.61,0.21353899533472584
75% Corpus,12,asymmetric,0.9099999999999999,0.21851866695234592
75% Corpus,12,asymmetric,symmetric,0.21350719039527202
75% Corpus,13,0.01,0.01,0.2196332121648244
75% Corpus,13,0.01,0.31,0.22319895871874795
75% Corpus,13,0.01,0.61,0.21156482025351747
75% Corpus,13,0.01,0.9099999999999999,0.22251742193904905
75% Corpus,13,0.01,symmetric,0.22773094751424006
75% Corpus,13,0.31,0.01,0.21848717590737163
75% Corpus,13,0.31,0.31,0.2205360501775613
75% Corpus,13,0.31,0.61,0.21207789590156476
75% Corpus,13,0.31,0.9099999999999999,0.22460873411486476
75% Corpus,13,0.31,symmetric,0.22976717871207566
75% Corpus,13,0.61,0.01,0.21988071874989873
75% Corpus,13,0.61,0.31,0.21943366602498318
75% Corpus,13,0.61,0.61,0.278163535984406
75% Corpus,13,0.61,0.9099999999999999,0.2529619052942265
75% Corpus,13,0.61,symmetric,0.22914980223210424
75% Corpus,13,0.9099999999999999,0.01,0.2172235158749853
75% Corpus,13,0.9099999999999999,0.31,0.22381298824948276
75% Corpus,13,0.9099999999999999,0.61,0.4375202597403465
75% Corpus,13,0.9099999999999999,0.9099999999999999,0.21786636390879724
75% Corpus,13,0.9099999999999999,symmetric,0.23326332315440476
75% Corpus,13,symmetric,0.01,0.21962666423346897
75% Corpus,13,symmetric,0.31,0.22319895871874795
75% Corpus,13,symmetric,0.61,0.211945345783047
75% Corpus,13,symmetric,0.9099999999999999,0.22289794746857866
75% Corpus,13,symmetric,symmetric,0.22727635904746754
75% Corpus,13,asymmetric,0.01,0.21918334637329576
75% Corpus,13,asymmetric,0.31,0.22295501122549763
75% Corpus,13,asymmetric,0.61,0.21178251936728823
75% Corpus,13,asymmetric,0.9099999999999999,0.22289794746857858
75% Corpus,13,asymmetric,symmetric,0.2261456366747063
75% Corpus,14,0.01,0.01,0.21489842154919017
75% Corpus,14,0.01,0.31,0.21162789440957788
75% Corpus,14,0.01,0.61,0.21218691320155408
75% Corpus,14,0.01,0.9099999999999999,0.21409493664707865
75% Corpus,14,0.01,symmetric,0.21806374927071978
75% Corpus,14,0.31,0.01,0.22531630748609327
75% Corpus,14,0.31,0.31,0.21235813898955405
75% Corpus,14,0.31,0.61,0.21233494356626714
75% Corpus,14,0.31,0.9099999999999999,0.21259877222040233
75% Corpus,14,0.31,symmetric,0.21402636008056
75% Corpus,14,0.61,0.01,0.2181518940712081
75% Corpus,14,0.61,0.31,0.21221564678210122
75% Corpus,14,0.61,0.61,0.19052185314733747
75% Corpus,14,0.61,0.9099999999999999,0.24409467142538405
75% Corpus,14,0.61,symmetric,0.21837257171096883
75% Corpus,14,0.9099999999999999,0.01,0.21527854402881838
75% Corpus,14,0.9099999999999999,0.31,0.2256549066341281
75% Corpus,14,0.9099999999999999,0.61,0.19951884753656543
75% Corpus,14,0.9099999999999999,0.9099999999999999,0.19809962238167997
75% Corpus,14,0.9099999999999999,symmetric,0.2180621850889199
75% Corpus,14,symmetric,0.01,0.21849668699137242
75% Corpus,14,symmetric,0.31,0.21162789440957788
75% Corpus,14,symmetric,0.61,0.21252628285653513
75% Corpus,14,symmetric,0.9099999999999999,0.2147753452397003
75% Corpus,14,symmetric,symmetric,0.2178005298612144
75% Corpus,14,asymmetric,0.01,0.20924487335100947
75% Corpus,14,asymmetric,0.31,0.21162789440957788
75% Corpus,14,asymmetric,0.61,0.21218691320155408
75% Corpus,14,asymmetric,0.9099999999999999,0.21409493664707865
75% Corpus,14,asymmetric,symmetric,0.21572545233124213
75% Corpus,15,0.01,0.01,0.21110589856943232
75% Corpus,15,0.01,0.31,0.21146221927843786
75% Corpus,15,0.01,0.61,0.23231577564076303
75% Corpus,15,0.01,0.9099999999999999,0.21836182961398118
75% Corpus,15,0.01,symmetric,0.211178345911515
75% Corpus,15,0.31,0.01,0.21129711949181695
75% Corpus,15,0.31,0.31,0.2110115005328651
75% Corpus,15,0.31,0.61,0.21567985600444034
75% Corpus,15,0.31,0.9099999999999999,0.22150200821774685
75% Corpus,15,0.31,symmetric,0.2109672740313301
75% Corpus,15,0.61,0.01,0.21100780461550114
75% Corpus,15,0.61,0.31,0.21107666158646904
75% Corpus,15,0.61,0.61,0.30650549945115435
75% Corpus,15,0.61,0.9099999999999999,0.29793486508801575
75% Corpus,15,0.61,symmetric,0.21092960178137407
75% Corpus,15,0.9099999999999999,0.01,0.21132882536000303
75% Corpus,15,0.9099999999999999,0.31,0.21344665971061924
75% Corpus,15,0.9099999999999999,0.61,0.35490285014751416
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.25453577777513176
75% Corpus,15,0.9099999999999999,symmetric,0.21117235878319665
75% Corpus,15,symmetric,0.01,0.211051213910271
75% Corpus,15,symmetric,0.31,0.21128325130623585
75% Corpus,15,symmetric,0.61,0.232136807668561
75% Corpus,15,symmetric,0.9099999999999999,0.21818286164177916
75% Corpus,15,symmetric,symmetric,0.2108720186259939
75% Corpus,15,asymmetric,0.01,0.21201762669822127
75% Corpus,15,asymmetric,0.31,0.21089479866068656
75% Corpus,15,asymmetric,0.61,0.2136345254371404
75% Corpus,15,asymmetric,0.9099999999999999,0.21817303802005494
